,name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,opponent,season,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,starts
405,Kyle Walker,DEF,Man City,3.7,0,0,25,1,3.2,249,37,0,0,5.8,19.8,2021-09-11T14:00:00Z,90,9,0,0,0,0,4,0,442166,1,0,35.0,6,-33966,37845,71811,55,False,0,Leicester,2021-22,,,,,
408,Vicente Guaita,GK,Crystal Palace,4.8,0,0,21,1,0.0,146,34,0,0,0.6,5.8,2021-09-11T11:30:00Z,90,17,0,0,0,0,4,1,441867,0,3,0.0,6,21368,78258,56890,45,True,0,Spurs,2021-22,,,,,
410,Mathias Jensen,MID,Brentford,0.2,0,0,4,0,1.3,86,32,1,0,0.8,6.8,2021-09-11T14:00:00Z,22,4,0,0,0,0,4,0,2281,1,0,0.0,1,315,784,469,49,True,0,Brighton,2021-22,,,,,
411,Moussa Djenepo,MID,Southampton,0.8,0,0,6,1,12.6,350,39,0,0,5.3,10.4,2021-09-11T14:00:00Z,90,19,0,0,0,0,4,0,5405,0,0,30.0,3,-788,574,1362,55,True,0,West Ham,2021-22,,,,,
412,Japhet Tanganga,DEF,Spurs,4.0,0,0,-5,0,0.0,371,34,3,0,0.4,3.6,2021-09-11T11:30:00Z,57,7,0,0,0,1,4,0,321062,0,3,0.0,-3,95064,177745,82681,46,False,0,Crystal Palace,2021-22,,,,,
414,Tariq Lamptey,DEF,Brighton,0.0,0,0,0,0,0.0,71,32,0,0,0.0,0.0,2021-09-11T14:00:00Z,0,3,0,0,0,0,4,0,25824,1,0,0.0,0,-4567,1490,6057,44,False,0,Brentford,2021-22,,,,,
418,Pierre-Emile Højbjerg,MID,Spurs,3.0,0,0,17,0,13.2,365,34,3,0,3.8,22.8,2021-09-11T11:30:00Z,90,7,0,0,0,0,4,0,196405,0,3,2.0,2,-12372,26204,38576,50,False,0,Crystal Palace,2021-22,,,,,
420,Trent Alexander-Arnold,DEF,Liverpool,9.8,1,3,38,1,66.3,237,36,0,0,13.1,36.4,2021-09-12T15:30:00Z,90,10,0,0,0,0,4,0,2701011,3,0,28.0,12,47235,308000,260765,75,False,0,Leeds,2021-22,,,,,
423,James Tarkowski,DEF,Burnley,0.8,0,0,13,0,0.2,98,35,3,0,1.4,14.2,2021-09-13T19:00:00Z,90,8,0,0,0,0,4,0,111113,1,3,0.0,1,-8309,7366,15675,50,False,0,Everton,2021-22,,,,,
425,Naby Keita,MID,Liverpool,1.8,0,0,3,0,0.3,239,36,0,0,0.3,0.2,2021-09-12T15:30:00Z,1,10,0,0,0,0,4,0,18170,3,0,2.0,1,-3768,2344,6112,50,False,0,Leeds,2021-22,,,,,
426,Kristoffer Ajer,DEF,Brentford,2.5,0,0,8,0,1.0,483,32,1,0,1.3,10.2,2021-09-11T14:00:00Z,90,4,0,0,0,0,4,0,87655,1,0,2.0,1,9187,22222,13035,45,True,1,Brighton,2021-22,,,,,
428,Jack Grealish,MID,Man City,5.0,0,0,14,1,52.1,33,37,0,0,9.8,14.0,2021-09-11T14:00:00Z,90,9,0,0,0,0,4,0,1716488,1,0,32.0,3,-94395,256416,350811,80,False,0,Leicester,2021-22,,,,,
