,name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,opponent,season,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,starts
0,Eric Bailly,DEF,Man Utd,0.0,0,0,0,0,0.0,286,6,0,0,0.0,0.0,2021-08-14T11:30:00Z,0,10,0,0,0,0,1,0,9363,1,5,0.0,0,0,0,0,50,True,0,Leeds,2021-22,,,,,
1,Keinan Davis,FWD,Aston Villa,0.4,0,0,0,0,0.0,49,8,0,0,0.0,0.0,2021-08-14T14:00:00Z,0,18,0,0,0,0,1,0,169789,2,3,0.0,0,0,0,0,45,False,0,Watford,2021-22,,,,,
25,Jorge Luiz Frello Filho,MID,Chelsea,2.6,0,0,14,1,21.4,123,3,0,0,4.3,19.6,2021-08-14T14:00:00Z,90,7,0,0,0,0,1,0,328061,0,3,2.0,3,0,0,0,60,True,0,Crystal Palace,2021-22,,,,,
28,Luke Shaw,DEF,Man Utd,3.1,0,0,5,0,28.7,275,6,1,0,4.1,6.2,2021-08-14T11:30:00Z,90,10,0,0,0,0,1,0,3743944,1,5,6.0,1,0,0,0,55,True,1,Leeds,2021-22,,,,,
29,Armando Broja,FWD,Southampton,1.3,0,0,0,0,0.0,518,4,0,0,0.0,0.0,2021-08-14T14:00:00Z,0,8,0,0,0,0,1,0,50205,1,3,0.0,0,0,0,0,50,False,0,Everton,2021-22,,,,,
31,Emerson Palmieri dos Santos,DEF,Chelsea,2.2,0,0,3,0,0.1,539,3,0,0,0.2,0.0,2021-08-14T14:00:00Z,4,7,0,0,0,0,1,0,0,0,3,2.0,1,0,0,0,45,True,0,Crystal Palace,2021-22,,,,,
33,Declan Rice,MID,West Ham,2.4,0,0,22,0,25.3,421,9,2,0,5.9,27.8,2021-08-15T13:00:00Z,90,14,0,0,0,0,1,0,299441,4,2,6.0,2,0,0,0,50,False,0,Newcastle,2021-22,,,,,
37,Harvey Elliott,MID,Liverpool,2.9,0,0,3,0,0.8,506,7,0,0,0.3,0.4,2021-08-14T16:30:00Z,7,15,0,0,0,0,1,0,6475,3,0,2.0,1,0,0,0,55,False,0,Norwich,2021-22,,,,,
39,Ashley Young,DEF,Aston Villa,2.7,0,0,13,0,22.7,52,8,3,0,3.7,8.4,2021-08-14T14:00:00Z,90,18,0,0,0,0,1,0,63216,2,3,6.0,1,0,0,0,50,False,0,Watford,2021-22,,,,,
40,Hamza Choudhury,MID,Leicester,1.5,0,0,0,0,0.0,214,5,0,0,0.0,0.0,2021-08-14T14:00:00Z,0,20,0,0,0,0,1,0,8491,0,1,0.0,0,0,0,0,45,True,0,Wolves,2021-22,,,,,
43,Shane Duffy,DEF,Brighton,1.5,0,0,22,0,0.2,56,2,1,0,9.2,34.8,2021-08-14T14:00:00Z,90,5,0,0,0,0,1,0,226602,2,1,57.0,2,0,0,0,40,False,0,Burnley,2021-22,,,,,
46,Reece James,DEF,Chelsea,3.1,0,0,4,0,2.1,142,3,0,0,0.6,2.2,2021-08-14T14:00:00Z,23,7,0,0,0,0,1,0,465500,0,3,2.0,1,0,0,0,55,True,0,Crystal Palace,2021-22,,,,,
47,Luke Cundle,MID,Wolves,0.5,0,0,0,0,0.0,547,5,0,0,0.0,0.0,2021-08-14T14:00:00Z,0,9,0,0,0,0,1,0,0,0,1,0.0,0,0,0,0,45,False,0,Leicester,2021-22,,,,,
48,Adam Forshaw,MID,Leeds,0.5,0,0,0,0,0.0,552,6,0,0,0.0,0.0,2021-08-14T11:30:00Z,0,13,0,0,0,0,1,0,0,1,5,0.0,0,0,0,0,45,False,0,Man Utd,2021-22,,,,,
49,Kepa Arrizabalaga,GK,Chelsea,3.1,0,0,0,0,0.0,129,3,0,0,0.0,0.0,2021-08-14T14:00:00Z,0,7,0,0,0,0,1,0,19536,0,3,0.0,0,0,0,0,50,True,0,Crystal Palace,2021-22,,,,,
50,Kortney Hause,DEF,Aston Villa,2.2,0,0,0,0,0.0,36,8,0,0,0.0,0.0,2021-08-14T14:00:00Z,0,18,0,0,0,0,1,0,8179,2,3,0.0,0,0,0,0,45,False,0,Watford,2021-22,,,,,
51,Tyrone Mings,DEF,Aston Villa,2.7,0,0,12,0,0.8,38,8,3,0,1.6,15.6,2021-08-14T14:00:00Z,90,18,0,0,0,0,1,0,572675,2,3,0.0,0,0,0,0,50,False,1,Watford,2021-22,,,,,
52,Ainsley Maitland-Niles,MID,Arsenal,2.9,0,0,0,0,0.0,13,1,0,0,0.0,0.0,2021-08-13T19:00:00Z,0,3,0,0,0,0,1,0,6271,0,2,0.0,0,0,0,0,55,False,0,Brentford,2021-22,,,,,
53,Jesse Lingard,MID,Man Utd,0.7,0,0,0,0,0.0,276,6,0,0,0.0,0.0,2021-08-14T11:30:00Z,0,10,0,0,0,0,1,0,150273,1,5,0.0,0,0,0,0,70,True,0,Leeds,2021-22,,,,,
54,Billy Gilmour,MID,Norwich,0.0,0,0,14,0,2.1,145,7,3,0,1.4,11.6,2021-08-14T16:30:00Z,90,11,0,0,0,0,1,0,592329,3,0,0.0,2,0,0,0,45,True,0,Liverpool,2021-22,,,,,
55,Jaden Philogene-Bidace,MID,Aston Villa,1.9,0,0,0,0,0.0,497,8,0,0,0.0,0.0,2021-08-14T14:00:00Z,0,18,0,0,0,0,1,0,1298,2,3,0.0,0,0,0,0,50,False,0,Watford,2021-22,,,,,
59,Thomas Partey,MID,Arsenal,0.0,0,0,0,0,0.0,15,1,0,0,0.0,0.0,2021-08-13T19:00:00Z,0,3,0,0,0,0,1,0,5080,0,2,0.0,0,0,0,0,50,False,0,Brentford,2021-22,,,,,
62,Raúl Jiménez,FWD,Wolves,1.9,0,0,2,0,36.9,430,5,1,0,5.9,4.0,2021-08-14T14:00:00Z,90,9,0,0,0,0,1,0,240264,0,1,18.0,2,0,0,0,75,False,0,Leicester,2021-22,,,,,
84,Ben Davies,DEF,Liverpool,2.0,0,0,0,0,0.0,248,7,0,0,0.0,0.0,2021-08-14T16:30:00Z,0,15,0,0,0,0,1,0,29413,3,0,0.0,0,0,0,0,40,False,0,Norwich,2021-22,,,,,
100,Ciaran Clark,DEF,Newcastle,0.7,0,0,12,0,11.6,293,9,4,0,5.6,16.6,2021-08-15T13:00:00Z,90,19,0,0,0,0,1,0,9309,4,2,28.0,0,0,0,0,45,True,0,West Ham,2021-22,,,,,
127,Donny van de Beek,MID,Man Utd,2.6,0,0,0,0,0.0,282,6,0,0,0.0,0.0,2021-08-14T11:30:00Z,0,10,0,0,0,0,1,0,10131,1,5,0.0,0,0,0,0,60,True,0,Leeds,2021-22,,,,,
130,Anwar El Ghazi,MID,Aston Villa,2.6,0,0,1,0,2.7,42,8,2,0,0.8,1.4,2021-08-14T14:00:00Z,59,18,0,0,0,0,1,0,82948,2,3,4.0,1,0,0,0,60,False,0,Watford,2021-22,,,,,
131,Kyle Walker-Peters,DEF,Southampton,2.2,0,0,0,0,0.0,342,4,0,0,0.0,0.0,2021-08-14T14:00:00Z,0,8,0,0,0,0,1,0,55553,1,3,0.0,0,0,0,0,50,False,0,Everton,2021-22,,,,,
132,Mohamed Elyounoussi,MID,Southampton,1.9,0,0,0,0,0.0,517,4,0,0,0.0,0.0,2021-08-14T14:00:00Z,0,8,0,0,0,0,1,0,1933,1,3,0.0,0,0,0,0,55,False,0,Everton,2021-22,,,,,
135,Ibrahima Konaté,DEF,Liverpool,3.6,0,0,0,0,0.0,243,7,0,0,0.0,0.0,2021-08-14T16:30:00Z,0,15,0,0,0,0,1,0,212508,3,0,0.0,0,0,0,0,55,False,0,Norwich,2021-22,,,,,
136,Jean-Philippe Mateta,FWD,Crystal Palace,1.1,0,0,5,0,1.3,159,3,2,0,0.8,6.4,2021-08-14T14:00:00Z,56,6,0,0,0,0,1,0,8209,0,3,0.0,1,0,0,0,55,False,0,Chelsea,2021-22,,,,,
137,Dane Scarlett,FWD,Spurs,0.5,0,0,0,0,0.0,520,10,0,0,0.0,0.0,2021-08-15T15:30:00Z,0,12,0,0,0,0,1,0,112697,0,1,0.0,0,0,0,0,45,True,0,Man City,2021-22,,,,,
138,Luke Thomas,DEF,Leicester,2.2,0,1,29,1,5.7,219,5,0,0,3.1,25.4,2021-08-14T14:00:00Z,90,20,0,0,0,0,1,0,14916,0,1,0.0,7,0,0,0,45,True,0,Wolves,2021-22,,,,,
139,Diego Llorente,DEF,Leeds,0.0,0,0,0,0,0.0,190,6,0,0,0.0,0.0,2021-08-14T11:30:00Z,0,13,0,0,0,0,1,0,8101,1,5,0.0,0,0,0,0,45,False,0,Man Utd,2021-22,,,,,
140,Robin Koch,DEF,Leeds,1.2,0,0,14,0,0.3,194,6,5,0,1.5,14.4,2021-08-14T11:30:00Z,90,13,0,0,0,0,1,0,21640,1,5,0.0,0,0,0,0,45,False,0,Man Utd,2021-22,,,,,
142,Sam Greenwood,FWD,Leeds,0.5,0,0,0,0,0.0,550,6,0,0,0.0,0.0,2021-08-14T11:30:00Z,0,13,0,0,0,0,1,0,0,1,5,0.0,0,0,0,0,45,False,0,Man Utd,2021-22,,,,,
143,Nathan Ferguson,DEF,Crystal Palace,0.0,0,0,0,0,0.0,161,3,0,0,0.0,0.0,2021-08-14T14:00:00Z,0,6,0,0,0,0,1,0,331,0,3,0.0,0,0,0,0,45,False,0,Chelsea,2021-22,,,,,
145,Kevin De Bruyne,MID,Man City,2.2,0,0,4,0,11.6,251,10,0,0,2.8,9.0,2021-08-15T15:30:00Z,11,17,0,0,0,0,1,0,170476,0,1,7.0,1,0,0,0,120,False,0,Spurs,2021-22,,,,,
146,Mohamed Salah,MID,Liverpool,5.0,2,3,49,1,36.4,233,7,0,1,17.7,70.6,2021-08-14T16:30:00Z,90,15,0,0,0,0,1,0,3548693,3,0,70.0,17,0,0,0,125,False,0,Norwich,2021-22,,,,,
147,Raheem Sterling,MID,Man City,4.1,0,0,1,0,4.2,255,10,1,0,3.9,4.2,2021-08-15T15:30:00Z,69,17,0,0,0,0,1,0,207534,0,1,31.0,2,0,0,0,110,False,0,Spurs,2021-22,,,,,
148,Wilfried Zaha,MID,Crystal Palace,1.9,0,0,1,0,3.0,154,3,3,0,2.6,1.0,2021-08-14T14:00:00Z,90,6,0,0,0,0,1,0,460453,0,3,22.0,2,0,0,0,70,False,0,Chelsea,2021-22,,,,,
150,Robert Sánchez,GK,Brighton,2.3,0,0,19,0,10.0,69,2,1,0,3.0,20.0,2021-08-14T14:00:00Z,90,5,0,0,0,0,1,2,1701303,2,1,0.0,2,0,0,0,45,False,0,Burnley,2021-22,,,,,
151,Neco Williams,DEF,Liverpool,2.0,0,0,0,0,0.0,246,7,0,0,0.0,0.0,2021-08-14T16:30:00Z,0,15,0,0,0,0,1,0,63346,3,0,0.0,0,0,0,0,40,False,0,Norwich,2021-22,,,,,
152,Ben Mee,DEF,Burnley,1.7,0,0,8,0,0.8,106,2,2,0,1.7,9.6,2021-08-14T14:00:00Z,90,4,0,0,0,0,1,0,59668,2,1,7.0,1,0,0,0,50,True,0,Brighton,2021-22,,,,,
153,Pascal Struijk,DEF,Leeds,1.2,0,0,15,0,0.0,198,6,5,0,1.6,16.4,2021-08-14T11:30:00Z,90,13,0,0,0,0,1,0,29507,1,5,0.0,0,0,0,0,45,False,0,Man Utd,2021-22,,,,,
208,Mads Bech Sørensen,DEF,Brentford,0.7,0,0,3,0,0.0,90,1,0,0,0.0,0.0,2021-08-13T19:00:00Z,19,1,0,0,0,0,1,0,8201,0,2,0.0,1,0,0,0,45,True,0,Arsenal,2021-22,,,,,
209,Malang Sarr,DEF,Chelsea,2.7,0,0,0,0,0.0,501,3,0,0,0.0,0.0,2021-08-14T14:00:00Z,0,7,0,0,0,0,1,0,3636,0,3,0.0,0,0,0,0,50,True,0,Crystal Palace,2021-22,,,,,
210,Douglas Luiz Soares de Paulo,MID,Aston Villa,0.0,0,0,0,0,0.0,50,8,0,0,0.0,0.0,2021-08-14T14:00:00Z,0,18,0,0,0,0,1,0,72328,2,3,0.0,0,0,0,0,45,False,0,Watford,2021-22,,,,,
213,Patson Daka,FWD,Leicester,2.9,0,0,0,0,0.0,455,5,0,0,0.0,0.0,2021-08-14T14:00:00Z,0,20,0,0,0,0,1,0,105111,0,1,0.0,0,0,0,0,75,True,0,Wolves,2021-22,,,,,
214,Stuart Armstrong,MID,Southampton,2.1,0,0,0,0,0.0,339,4,0,0,0.0,0.0,2021-08-14T14:00:00Z,0,8,0,0,0,0,1,0,29374,1,3,0.0,0,0,0,0,60,False,0,Everton,2021-22,,,,,
219,Nathaniel Clyne,DEF,Crystal Palace,1.2,0,0,0,0,0.0,493,3,0,0,0.0,0.0,2021-08-14T14:00:00Z,0,6,0,0,0,0,1,0,7285,0,3,0.0,0,0,0,0,45,False,0,Chelsea,2021-22,,,,,
220,Lukasz Fabianski,GK,West Ham,3.6,0,0,10,0,0.0,408,9,2,0,1.3,13.2,2021-08-15T13:00:00Z,90,14,0,0,0,0,1,1,145096,4,2,0.0,1,0,0,0,50,False,0,Newcastle,2021-22,,,,,
222,Yerry Mina,DEF,Everton,2.2,0,0,3,0,0.0,175,4,0,0,0.2,2.0,2021-08-14T14:00:00Z,7,16,0,0,0,0,1,0,41893,1,3,0.0,1,0,0,0,50,True,0,Southampton,2021-22,,,,,
223,Nathan Collins,DEF,Burnley,1.2,0,0,0,0,0.0,451,2,0,0,0.0,0.0,2021-08-14T14:00:00Z,0,4,0,0,0,0,1,0,7002,2,1,0.0,0,0,0,0,45,True,0,Brighton,2021-22,,,,,
225,Shandon Baptiste,MID,Brentford,0.4,0,0,0,0,0.0,499,1,0,0,0.0,0.0,2021-08-13T19:00:00Z,0,1,0,0,0,0,1,0,2794,0,2,0.0,0,0,0,0,50,True,0,Arsenal,2021-22,,,,,
226,James Justin,DEF,Leicester,0.0,0,0,0,0,0.0,218,5,0,0,0.0,0.0,2021-08-14T14:00:00Z,0,20,0,0,0,0,1,0,2893,0,1,0.0,0,0,0,0,50,True,0,Wolves,2021-22,,,,,
227,Conor Coventry,MID,West Ham,2.0,0,0,0,0,0.0,522,9,0,0,0.0,0.0,2021-08-15T13:00:00Z,0,14,0,0,0,0,1,0,6773,4,2,0.0,0,0,0,0,45,False,0,Newcastle,2021-22,,,,,
230,Oriol Romeu Vidal,MID,Southampton,1.0,0,0,12,0,6.3,335,4,2,0,2.2,7.4,2021-08-14T14:00:00Z,79,8,0,0,0,0,1,0,37248,1,3,8.0,2,0,0,0,45,False,0,Everton,2021-22,,,,,
231,Emil Krafth,DEF,Newcastle,0.7,0,0,10,0,1.3,303,9,4,0,1.5,9.4,2021-08-15T13:00:00Z,84,19,0,0,0,0,1,0,4670,4,2,4.0,0,0,0,0,45,True,0,West Ham,2021-22,,,,,
232,Christian Pulisic,MID,Chelsea,3.2,0,0,21,1,3.4,137,3,0,1,8.2,36.8,2021-08-14T14:00:00Z,81,7,0,0,0,0,1,0,94495,0,3,42.0,8,0,0,0,80,True,0,Crystal Palace,2021-22,,,,,
235,Çaglar Söyüncü,DEF,Leicester,2.7,0,0,23,1,0.3,217,5,0,0,2.4,23.8,2021-08-14T14:00:00Z,90,20,0,0,0,0,1,0,184568,0,1,0.0,6,0,0,0,50,True,0,Wolves,2021-22,,,,,
236,John Stones,DEF,Man City,3.1,0,0,0,0,0.0,252,10,0,0,0.0,0.0,2021-08-15T15:30:00Z,0,17,0,0,0,0,1,0,778503,0,1,0.0,0,0,0,0,55,False,0,Spurs,2021-22,,,,,
237,Pedro Lomba Neto,MID,Wolves,0.0,0,0,0,0,0.0,441,5,0,0,0.0,0.0,2021-08-14T14:00:00Z,0,9,0,0,0,0,1,0,2873,0,1,0.0,0,0,0,0,65,False,0,Leicester,2021-22,,,,,
238,Danny Ings,FWD,Aston Villa,3.0,0,1,29,0,0.9,337,8,3,1,6.0,34.2,2021-08-14T14:00:00Z,90,18,0,0,0,0,1,0,2574177,2,3,25.0,7,0,0,0,80,False,0,Watford,2021-22,,,,,
239,Gabriel Fernando de Jesus,FWD,Man City,3.2,0,0,4,0,13.6,263,10,0,0,1.6,2.4,2021-08-15T15:30:00Z,20,17,0,0,0,0,1,0,208816,0,1,0.0,1,0,0,0,85,False,0,Spurs,2021-22,,,,,
240,Scott McTominay,MID,Man Utd,2.4,0,0,14,0,12.4,285,6,1,0,4.8,15.6,2021-08-14T11:30:00Z,68,10,0,0,0,0,1,0,36489,1,5,20.0,2,0,0,0,55,True,0,Leeds,2021-22,,,,,
242,Taylor Richards,MID,Brighton,1.5,0,0,0,0,0.0,537,2,0,0,0.0,0.0,2021-08-14T14:00:00Z,0,5,0,0,0,0,1,0,0,2,1,0.0,0,0,0,0,45,False,0,Burnley,2021-22,,,,,
244,Dominic Calvert-Lewin,FWD,Everton,2.5,0,1,26,0,2.3,177,4,1,1,12.0,34.2,2021-08-14T14:00:00Z,90,16,0,0,0,0,1,0,686033,1,3,83.0,7,0,0,0,80,True,0,Southampton,2021-22,,,,,
245,Kalvin Phillips,MID,Leeds,0.9,0,0,0,0,0.0,191,6,0,0,0.0,0.0,2021-08-14T11:30:00Z,0,13,0,0,0,0,1,0,161941,1,5,0.0,0,0,0,0,50,False,0,Man Utd,2021-22,,,,,
246,Oliver Skipp,MID,Spurs,0.5,0,0,11,1,0.8,373,10,0,0,1.7,16.2,2021-08-15T15:30:00Z,90,12,0,0,0,0,1,0,17425,0,1,0.0,3,0,0,0,45,True,0,Man City,2021-22,,,,,
247,Ollie Watkins,FWD,Aston Villa,2.2,0,0,0,0,0.0,40,8,0,0,0.0,0.0,2021-08-14T14:00:00Z,0,18,0,0,0,0,1,0,312088,2,3,0.0,0,0,0,0,75,False,0,Watford,2021-22,,,,,
248,Ethan Pinnock,DEF,Brentford,0.7,1,2,32,1,11.1,91,1,0,0,4.8,36.8,2021-08-13T19:00:00Z,90,1,0,0,0,0,1,0,13971,0,2,0.0,11,0,0,0,45,True,0,Arsenal,2021-22,,,,,
249,Vitaly Janelt,MID,Brentford,0.4,0,0,6,1,1.4,84,1,0,0,1.0,6.2,2021-08-13T19:00:00Z,90,1,0,0,0,0,1,0,3003,0,2,2.0,3,0,0,0,50,True,0,Arsenal,2021-22,,,,,
250,Davinson Sánchez,DEF,Spurs,1.2,0,0,21,1,0.3,367,10,0,0,2.5,18.8,2021-08-15T15:30:00Z,90,12,0,0,0,0,1,0,37061,0,1,6.0,5,0,0,0,45,True,1,Man City,2021-22,,,,,
252,Bryan Mbeumo,MID,Brentford,0.9,0,0,4,1,13.3,96,1,0,0,3.8,2.4,2021-08-13T19:00:00Z,85,1,0,0,0,0,1,0,73833,0,2,22.0,3,0,0,0,55,True,0,Arsenal,2021-22,,,,,
253,Abdoulaye Doucouré,MID,Everton,1.9,0,2,31,0,4.6,173,4,1,1,8.3,41.8,2021-08-14T14:00:00Z,90,16,0,0,0,0,1,0,19357,1,3,37.0,8,0,0,0,55,True,1,Southampton,2021-22,,,,,
256,Jamal Lewis,DEF,Newcastle,0.7,0,0,0,0,0.0,311,9,0,0,0.0,0.0,2021-08-15T13:00:00Z,0,19,0,0,0,0,1,0,11767,4,2,0.0,0,0,0,0,45,True,0,West Ham,2021-22,,,,,
257,Rodrigo Hernandez,MID,Man City,2.4,0,0,0,0,0.0,266,10,0,0,0.0,0.0,2021-08-15T15:30:00Z,0,17,0,0,0,0,1,0,28016,0,1,0.0,0,0,0,0,55,False,0,Spurs,2021-22,,,,,
260,Hakim Ziyech,MID,Chelsea,0.0,0,0,0,0,0.0,131,3,0,0,0.0,0.0,2021-08-14T14:00:00Z,0,7,0,0,0,0,1,0,37887,0,3,0.0,0,0,0,0,75,True,0,Crystal Palace,2021-22,,,,,
261,Patrick Bamford,FWD,Leeds,2.0,0,0,0,0,10.8,189,6,5,0,1.8,0.0,2021-08-14T11:30:00Z,76,13,0,0,0,0,1,0,1258401,1,5,8.0,2,0,0,0,80,False,0,Man Utd,2021-22,,,,,
262,William Saliba,DEF,Arsenal,0.0,0,0,0,0,0.0,27,1,0,0,0.0,0.0,2021-08-13T19:00:00Z,0,3,0,0,0,0,1,0,385,0,2,0.0,0,0,0,0,45,False,0,Brentford,2021-22,,,,,
263,Marc Albrighton,MID,Leicester,2.4,0,0,0,0,0.0,202,5,0,0,0.0,0.0,2021-08-14T14:00:00Z,0,20,0,0,0,0,1,0,14368,0,1,0.0,0,0,0,0,55,True,0,Wolves,2021-22,,,,,
265,Jamie Vardy,FWD,Leicester,3.9,0,0,23,1,24.7,205,5,0,1,12.1,37.2,2021-08-14T14:00:00Z,90,20,0,0,0,0,1,0,1032316,0,1,59.0,5,0,0,0,105,True,1,Wolves,2021-22,,,,,
266,Alisson Ramses Becker,GK,Liverpool,5.0,0,0,26,1,0.0,231,7,0,0,2.9,29.4,2021-08-14T16:30:00Z,90,15,0,0,0,0,1,3,382936,3,0,0.0,7,0,0,0,60,False,0,Norwich,2021-22,,,,,
267,Emiliano Buendía Stati,MID,Aston Villa,2.8,0,0,6,0,5.3,43,8,3,0,2.0,4.2,2021-08-14T14:00:00Z,71,18,0,0,0,0,1,0,386824,2,3,10.0,2,0,0,0,65,False,0,Watford,2021-22,,,,,
271,Andros Townsend,MID,Everton,1.9,1,0,21,0,40.5,482,4,1,0,7.1,30.8,2021-08-14T14:00:00Z,69,16,0,0,0,0,1,0,47331,1,3,0.0,5,0,0,0,55,True,0,Southampton,2021-22,,,,,
272,Jonjo Shelvey,MID,Newcastle,0.9,0,0,7,0,14.4,291,9,4,0,1.8,3.6,2021-08-15T13:00:00Z,69,19,0,0,0,0,1,0,9252,4,2,0.0,1,0,0,0,55,True,1,West Ham,2021-22,,,,,
273,Matt Doherty,DEF,Spurs,1.7,0,0,4,0,0.3,360,10,0,0,0.3,3.0,2021-08-15T15:30:00Z,7,12,0,0,0,0,1,0,50765,0,1,0.0,1,0,0,0,50,True,0,Man City,2021-22,,,,,
274,Jean-Philippe Gbamin,MID,Everton,1.0,0,0,0,0,0.0,504,4,0,0,0.0,0.0,2021-08-14T14:00:00Z,0,16,0,0,0,0,1,0,2036,1,3,0.0,0,0,0,0,45,True,0,Southampton,2021-22,,,,,
275,Yan Valery,DEF,Southampton,1.0,0,0,0,0,0.0,546,4,0,0,0.0,0.0,2021-08-14T14:00:00Z,0,8,0,0,0,0,1,0,0,1,3,0.0,0,0,0,0,40,False,0,Everton,2021-22,,,,,
276,Charlie Goode,DEF,Brentford,0.0,0,0,0,0,0.0,87,1,0,0,0.0,0.0,2021-08-13T19:00:00Z,0,1,0,0,0,0,1,0,90851,0,2,0.0,0,0,0,0,40,True,0,Arsenal,2021-22,,,,,
277,Marcos Alonso,DEF,Chelsea,3.1,0,3,46,1,35.5,122,3,0,1,12.1,56.0,2021-08-14T14:00:00Z,85,7,0,0,0,0,1,0,101537,0,3,29.0,15,0,0,0,55,True,0,Crystal Palace,2021-22,,,,,
279,Allan Marques Loureiro,MID,Everton,1.0,0,0,6,0,2.0,171,4,1,0,2.0,11.4,2021-08-14T14:00:00Z,90,16,0,0,0,0,1,0,78248,1,3,7.0,2,0,0,0,45,True,0,Southampton,2021-22,,,,,
280,Oleksandr Zinchenko,DEF,Man City,3.1,0,0,3,0,0.6,264,10,0,0,0.3,2.8,2021-08-15T15:30:00Z,11,17,0,0,0,0,1,0,104388,0,1,0.0,1,0,0,0,55,False,0,Spurs,2021-22,,,,,
281,Nathaniel Phillips,DEF,Liverpool,2.7,0,0,0,0,0.0,241,7,0,0,0.0,0.0,2021-08-14T16:30:00Z,0,15,0,0,0,0,1,0,23686,3,0,0.0,0,0,0,0,45,False,0,Norwich,2021-22,,,,,
282,Adam Armstrong,FWD,Southampton,1.8,0,0,24,0,1.0,525,4,3,1,7.4,33.2,2021-08-14T14:00:00Z,90,8,0,0,0,0,1,0,65676,1,3,40.0,6,0,0,0,60,False,0,Everton,2021-22,,,,,
285,James Milner,MID,Liverpool,2.4,0,0,10,1,18.8,221,7,0,0,4.0,21.0,2021-08-14T16:30:00Z,90,15,0,0,0,0,1,0,6425,3,0,0.0,2,0,0,0,50,False,1,Norwich,2021-22,,,,,
289,José Malheiro de Sá,GK,Wolves,2.1,0,0,17,0,0.0,475,5,1,0,2.6,26.2,2021-08-14T14:00:00Z,90,9,0,0,0,0,1,4,23035,0,1,0.0,3,0,0,0,50,False,0,Leicester,2021-22,,,,,
290,Fraser Forster,GK,Southampton,1.8,0,0,0,0,0.0,333,4,0,0,0.0,0.0,2021-08-14T14:00:00Z,0,8,0,0,0,0,1,0,81382,1,3,0.0,0,0,0,0,45,False,0,Everton,2021-22,,,,,
292,Allan Saint-Maximin,FWD,Newcastle,1.1,1,1,34,0,48.3,307,9,4,0,9.8,39.6,2021-08-15T13:00:00Z,90,19,0,0,0,0,1,0,293340,4,2,10.0,6,0,0,0,65,True,0,West Ham,2021-22,,,,,
293,Jarrad Branthwaite,DEF,Everton,1.0,0,0,0,0,0.0,544,4,0,0,0.0,0.0,2021-08-14T14:00:00Z,0,16,0,0,0,0,1,0,0,1,3,0.0,0,0,0,0,40,True,0,Southampton,2021-22,,,,,
294,Joel Ward,DEF,Crystal Palace,1.2,0,0,15,0,1.3,474,3,3,0,2.5,23.8,2021-08-14T14:00:00Z,90,6,0,0,0,0,1,0,15214,0,3,0.0,1,0,0,0,45,False,0,Chelsea,2021-22,,,,,
296,Vladimir Coufal,DEF,West Ham,3.2,0,0,18,0,23.9,418,9,2,0,5.0,20.4,2021-08-15T13:00:00Z,90,14,0,0,0,0,1,0,932002,4,2,6.0,1,0,0,0,50,False,0,Newcastle,2021-22,,,,,
298,Ben Johnson,DEF,West Ham,2.0,0,0,4,0,0.1,425,9,0,0,0.1,1.0,2021-08-15T13:00:00Z,1,14,0,0,0,0,1,0,169647,4,2,0.0,1,0,0,0,40,False,0,Newcastle,2021-22,,,,,
299,Emile Smith Rowe,MID,Arsenal,2.9,0,0,13,0,35.3,21,1,2,0,7.3,13.0,2021-08-13T19:00:00Z,90,3,0,0,0,0,1,0,497578,0,2,25.0,2,0,0,0,55,False,0,Brentford,2021-22,,,,,
301,Joelinton Cássio Apolinário de Lira,FWD,Newcastle,0.8,0,0,3,0,0.8,310,9,0,0,0.1,0.0,2021-08-15T13:00:00Z,5,19,0,0,0,0,1,0,44613,4,2,0.0,1,0,0,0,60,True,0,West Ham,2021-22,,,,,
302,Karl Darlow,GK,Newcastle,0.2,0,0,0,0,0.0,294,9,0,0,0.0,0.0,2021-08-15T13:00:00Z,0,19,0,0,0,0,1,0,53679,4,2,0.0,0,0,0,0,45,True,0,West Ham,2021-22,,,,,
303,Kiernan Dewsbury-Hall,MID,Leicester,1.5,0,0,0,0,0.0,505,5,0,0,0.0,0.0,2021-08-14T14:00:00Z,0,20,0,0,0,0,1,0,2531,0,1,0.0,0,0,0,0,45,True,0,Wolves,2021-22,,,,,
304,Christian Benteke,FWD,Crystal Palace,1.6,0,0,1,0,0.3,149,3,1,0,0.1,0.0,2021-08-14T14:00:00Z,33,6,0,0,0,0,1,0,96513,0,3,4.0,1,0,0,0,65,False,0,Chelsea,2021-22,,,,,
305,Riyad Mahrez,MID,Man City,3.5,0,0,9,0,22.1,254,10,1,0,4.7,6.4,2021-08-15T15:30:00Z,78,17,0,0,0,0,1,0,533583,0,1,18.0,2,0,0,0,90,False,0,Spurs,2021-22,,,,,
307,Frank Onyeka,MID,Brentford,0.4,0,0,9,1,15.5,479,1,0,0,2.5,5.4,2021-08-13T19:00:00Z,79,1,0,0,0,0,1,0,4896,0,2,4.0,3,0,0,0,50,True,0,Arsenal,2021-22,,,,,
