,name,position,team,opponent_team,round,total_points,season,xP,assists_avg_last3,bonus_avg_last3,bps_avg_last3,clean_sheets_avg_last3,creativity_avg_last3,expected_assists_avg_last3,expected_goal_involvements_avg_last3,expected_goals_avg_last3,expected_goals_conceded_avg_last3,goals_conceded_avg_last3,goals_scored_avg_last3,influence_avg_last3,minutes_avg_last3,own_goals_avg_last3,penalties_missed_avg_last3,penalties_saved_avg_last3,red_cards_avg_last3,saves_avg_last3,selected_avg_last3,starts_avg_last3,threat_avg_last3,total_points_avg_last3,transfers_balance_avg_last3,transfers_in_avg_last3,transfers_out_avg_last3,value_avg_last3,yellow_cards_avg_last3,assists_prev_week,bonus_prev_week,bps_prev_week,clean_sheets_prev_week,creativity_prev_week,expected_assists_prev_week,expected_goal_involvements_prev_week,expected_goals_prev_week,expected_goals_conceded_prev_week,goals_conceded_prev_week,goals_scored_prev_week,influence_prev_week,minutes_prev_week,own_goals_prev_week,penalties_missed_prev_week,penalties_saved_prev_week,red_cards_prev_week,saves_prev_week,selected_prev_week,starts_prev_week,threat_prev_week,total_points_prev_week,transfers_balance_prev_week,transfers_in_prev_week,transfers_out_prev_week,value_prev_week,yellow_cards_prev_week
3101,Jarrod Bowen,MID,West Ham,13,34,2,2022-23,7.6,0.3333333333333333,0.0,12.0,0.3333333333333333,11.566666666666665,0.22333333333333336,0.26666666666666666,0.043333333333333335,1.6366666666666667,2.0,0.0,14.133333333333335,85.0,0.0,0.0,0.0,0.0,0.0,435126.3333333333,1.0,15.666666666666666,3.3333333333333335,21743.0,46942.0,25199.0,80.0,0.0,0,0,10,0,6.1,0.05,0.05,0.0,2.13,4,0,8.8,90,0,0,0,0,0,417095,1.0,4.0,2,6501,36883,30382,80,0
3102,Ben Davies,DEF,Liverpool,18,34,0,2022-23,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.060000000000000074,0.0,0.0,0.0,4.333333333333333,0.0,0.0,0.0,0.0,0.0,81267.0,0.0,0.0,0.3333333333333333,-5056.0,68.66666666666667,5124.666666666667,44.666666666666664,0.0,0,0,3,0,0.0,0.0,0.0,0.0,0.18,0,0,0.0,13,0,0,0,0,0,120617,0.0,0.0,1,-3391,180,3571,47,0
3103,Ben Davies,DEF,Liverpool,9,34,0,2022-23,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.060000000000000074,0.0,0.0,0.0,4.333333333333333,0.0,0.0,0.0,0.0,0.0,40506.0,0.0,0.0,0.3333333333333333,-1130.6666666666667,60.0,1190.6666666666667,42.333333333333336,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,450,0.0,0.0,0,-1,0,1,40,0
3104,Bryan Mbeumo,FWD,Brentford,16,34,2,2022-23,3.3,0.3333333333333333,1.0,21.333333333333332,0.0,31.133333333333336,0.17999999999999997,0.4366666666666667,0.25666666666666665,0.9333333333333332,1.0,0.3333333333333333,28.133333333333326,69.33333333333333,0.0,0.0,0.0,0.0,0.0,396227.6666666667,0.6666666666666666,21.0,5.0,-24551.0,11054.666666666666,35605.666666666664,58.0,0.0,0,1,26,0,0.3,0.0,0.1,0.1,0.16,0,1,31.2,28,0,0,0,0,0,378378,0.0,23.0,6,-21235,9755,30990,58,0
3105,Marcus Rashford,MID,Man Utd,2,34,6,2022-23,12.0,0.6666666666666666,0.6666666666666666,11.333333333333334,0.3333333333333333,4.433333333333336,0.056666666666666664,0.5800000000000001,0.5233333333333333,1.0866666666666667,0.6666666666666666,0.3333333333333333,8.4,56.666666666666664,0.0,0.0,0.0,0.0,0.0,4832728.333333333,0.6666666666666666,23.666666666666668,6.0,-407093.3333333333,220106.33333333334,627199.6666666666,72.0,0.0,1,2,31,0,0.0,0.06,0.76,0.7,2.24,2,1,0.0,90,0,0,0,0,0,4130739,1.0,0.0,12,442645,468566,25921,71,0
3106,Marcus Rashford,MID,Man Utd,5,34,2,2022-23,12.0,0.6666666666666666,0.6666666666666666,13.0,0.3333333333333333,3.866666666666669,0.06,0.44666666666666677,0.38666666666666666,0.9033333333333333,0.6666666666666666,0.3333333333333333,2.466666666666667,58.333333333333336,0.0,0.0,0.0,0.0,0.0,4497616.0,0.6666666666666666,16.0,6.0,-165823.66666666666,454357.6666666667,620181.3333333334,71.66666666666667,0.0,1,0,8,1,11.6,0.12,0.58,0.46,0.47,0,0,7.4,85,0,0,0,0,0,5086843,1.0,48.0,6,868161,879857,11696,72,0
3107,Bukayo Saka,MID,Arsenal,6,34,2,2022-23,4.1,0.3333333333333333,1.0,14.0,0.0,29.66666666666667,0.22,0.69,0.47000000000000003,1.6866666666666665,2.6666666666666665,0.3333333333333333,24.666666666666668,86.33333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,4495879.666666667,1.0,29.666666666666668,5.0,-130691.66666666667,69229.0,199920.66666666666,85.0,0.0,0,0,3,0,3.8,0.03,0.08,0.05,1.89,3,0,0.0,79,0,0,0,0,0,4266399,1.0,7.0,2,-282755,27515,310270,84,0
3108,Trent Alexander-Arnold,DEF,Liverpool,18,34,4,2022-23,12.6,1.3333333333333333,0.6666666666666666,33.0,0.0,45.133333333333326,0.5566666666666666,0.5733333333333333,0.016666666666666666,0.9800000000000001,1.3333333333333333,0.0,40.06666666666666,90.0,0.0,0.0,0.0,0.0,0.0,2532310.6666666665,1.0,2.6666666666666665,6.333333333333333,218220.66666666666,242821.66666666666,24601.0,74.0,0.0,1,0,23,0,35.8,0.11,0.16,0.05,0.78,1,0,33.4,90,0,0,0,0,0,2669300,1.0,2.0,5,169167,203226,34059,75,0
3109,Trent Alexander-Arnold,DEF,Liverpool,9,34,7,2022-23,12.6,1.0,0.3333333333333333,27.333333333333332,0.0,46.699999999999996,0.3333333333333333,0.3566666666666667,0.023333333333333334,1.1966666666666665,2.0,0.0,30.0,90.0,0.0,0.0,0.0,0.0,0.0,2857460.3333333335,1.0,2.6666666666666665,4.666666666666667,298517.3333333333,321446.6666666667,22929.333333333332,75.0,0.0,1,0,26,0,38.8,0.17,0.19,0.02,1.99,3,0,26.2,90,0,0,0,0,0,3072201,1.0,2.0,4,323895,347813,23918,76,0
3110,Mohamed Salah,MID,Liverpool,18,34,7,2022-23,16.4,0.0,0.6666666666666666,29.333333333333332,0.0,19.533333333333335,0.16000000000000003,0.5466666666666667,0.38666666666666666,0.9733333333333333,1.3333333333333333,1.0,36.93333333333333,86.66666666666667,0.0,0.0,0.0,0.0,0.0,3588123.0,1.0,35.333333333333336,7.666666666666667,252681.33333333334,299254.3333333333,46573.0,129.0,0.0,0,0,13,0,22.5,0.12,0.23,0.11,0.78,1,0,8.2,90,0,0,0,0,0,3747901,1.0,20.0,2,145628,212176,66548,130,0
