,name,position,team,opponent_team,round,total_points,season,xP,assists_avg_last3,bonus_avg_last3,bps_avg_last3,clean_sheets_avg_last3,creativity_avg_last3,expected_assists_avg_last3,expected_goal_involvements_avg_last3,expected_goals_avg_last3,expected_goals_conceded_avg_last3,goals_conceded_avg_last3,goals_scored_avg_last3,influence_avg_last3,minutes_avg_last3,own_goals_avg_last3,penalties_missed_avg_last3,penalties_saved_avg_last3,red_cards_avg_last3,saves_avg_last3,selected_avg_last3,starts_avg_last3,threat_avg_last3,total_points_avg_last3,transfers_balance_avg_last3,transfers_in_avg_last3,transfers_out_avg_last3,value_avg_last3,yellow_cards_avg_last3,assists_prev_week,bonus_prev_week,bps_prev_week,clean_sheets_prev_week,creativity_prev_week,expected_assists_prev_week,expected_goal_involvements_prev_week,expected_goals_prev_week,expected_goals_conceded_prev_week,goals_conceded_prev_week,goals_scored_prev_week,influence_prev_week,minutes_prev_week,own_goals_prev_week,penalties_missed_prev_week,penalties_saved_prev_week,red_cards_prev_week,saves_prev_week,selected_prev_week,starts_prev_week,threat_prev_week,total_points_prev_week,transfers_balance_prev_week,transfers_in_prev_week,transfers_out_prev_week,value_prev_week,yellow_cards_prev_week
0,Ben Davies,DEF,Spurs,17,1,2,2022-23,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1014.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,1014,0.0,0.0,0,0,0,0,40,0
1,Fabian Schär,DEF,Newcastle,5,2,5,2022-23,10.0,0.0,3.0,43.0,1.0,14.6,0.0,0.0,0.0,0.0,0.0,1.0,66.0,90.0,0.0,0.0,0.0,0.0,0.0,40132.0,0.0,25.0,15.0,0.0,0.0,0.0,45.0,0.0,0,3,43,1,14.6,0.0,0.0,0.0,0.0,0,1,66.0,90,0,0,0,0,0,40132,0.0,25.0,15,0,0,0,45,0
2,Alisson Ramses Becker,GK,Liverpool,7,2,2,2022-23,2.5,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,8.2,90.0,0.0,0.0,0.0,0.0,1.0,1567712.0,0.0,0.0,1.0,0.0,0.0,0.0,55.0,0.0,0,0,11,0,0.0,0.0,0.0,0.0,0.0,2,0,8.2,90,0,0,0,0,1,1567712,0.0,0.0,1,0,0,0,55,0
3,Che Adams,FWD,Southampton,11,2,2,2022-23,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61566.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,61566,0.0,0.0,0,0,0,0,65,0
4,Rodrigo Hernandez,MID,Man City,3,2,3,2022-23,4.5,0.0,0.0,18.0,1.0,5.8,0.0,0.0,0.0,0.0,0.0,0.0,16.0,88.0,0.0,0.0,0.0,0.0,0.0,220268.0,0.0,1.0,3.0,0.0,0.0,0.0,60.0,0.0,0,0,18,1,5.8,0.0,0.0,0.0,0.0,0,0,16.0,88,0,0,0,0,0,220268,0.0,1.0,3,0,0,0,60,0
5,Jack Grealish,MID,Man City,3,2,1,2022-23,3.5,0.0,0.0,19.0,1.0,29.2,0.0,0.0,0.0,0.0,0.0,0.0,7.2,90.0,0.0,0.0,0.0,0.0,0.0,327616.0,0.0,14.0,3.0,0.0,0.0,0.0,70.0,0.0,0,0,19,1,29.2,0.0,0.0,0.0,0.0,0,0,7.2,90,0,0,0,0,0,327616,0.0,14.0,3,0,0,0,70,0
6,Jack Harrison,MID,Leeds,17,2,4,2022-23,4.5,1.0,2.0,25.0,0.0,78.8,0.0,0.0,0.0,0.0,1.0,0.0,34.8,90.0,0.0,0.0,0.0,0.0,0.0,79451.0,0.0,10.0,6.0,0.0,0.0,0.0,60.0,1.0,1,2,25,0,78.8,0.0,0.0,0.0,0.0,1,0,34.8,90,0,0,0,0,0,79451,0.0,10.0,6,0,0,0,60,1
7,Rodrigo Moreno,MID,Leeds,17,2,15,2022-23,10.5,0.0,0.0,23.0,0.0,1.1,0.0,0.0,0.0,0.0,1.0,1.0,34.8,64.0,0.0,0.0,0.0,0.0,0.0,73866.0,0.0,29.0,7.0,0.0,0.0,0.0,60.0,0.0,0,0,23,0,1.1,0.0,0.0,0.0,0.0,1,1,34.8,64,0,0,0,0,0,73866,0.0,29.0,7,0,0,0,60,0
8,Erling Haaland,FWD,Man City,3,2,5,2022-23,10.5,0.0,3.0,48.0,1.0,4.8,0.0,0.0,0.0,0.0,0.0,2.0,62.6,77.0,0.0,0.0,0.0,0.0,0.0,3398599.0,0.0,73.0,13.0,0.0,0.0,0.0,115.0,0.0,0,3,48,1,4.8,0.0,0.0,0.0,0.0,0,2,62.6,77,0,0,0,0,0,3398599,0.0,73.0,13,0,0,0,115,0
9,Phil Foden,MID,Man City,3,2,9,2022-23,7.5,0.0,0.0,19.0,1.0,30.4,0.0,0.0,0.0,0.0,0.0,0.0,10.8,87.0,0.0,0.0,0.0,0.0,0.0,482845.0,0.0,10.0,3.0,0.0,0.0,0.0,80.0,0.0,0,0,19,1,30.4,0.0,0.0,0.0,0.0,0,0,10.8,87,0,0,0,0,0,482845,0.0,10.0,3,0,0,0,80,0
10,Kevin De Bruyne,MID,Man City,3,2,14,2022-23,11.5,1.0,0.0,24.0,1.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,24.4,87.0,0.0,0.0,0.0,0.0,0.0,1151254.0,0.0,20.0,6.0,0.0,0.0,0.0,120.0,0.0,1,0,24,1,43.0,0.0,0.0,0.0,0.0,0,0,24.4,87,0,0,0,0,0,1151254,0.0,20.0,6,0,0,0,120,0
11,Ben Mee,DEF,Brentford,14,2,14,2022-23,6.5,0.0,0.0,9.0,0.0,1.4,0.0,0.0,0.0,0.0,2.0,0.0,7.8,58.0,0.0,0.0,0.0,0.0,0.0,26294.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0,0,9,0,1.4,0.0,0.0,0.0,0.0,2,0,7.8,58,0,0,0,0,0,26294,0.0,0.0,0,0,0,0,45,0
12,Ivan Toney,FWD,Brentford,14,2,9,2022-23,8.0,0.0,2.0,26.0,0.0,25.8,0.0,0.0,0.0,0.0,2.0,1.0,39.0,90.0,0.0,0.0,0.0,0.0,0.0,438961.0,0.0,23.0,8.0,0.0,0.0,0.0,70.0,0.0,0,2,26,0,25.8,0.0,0.0,0.0,0.0,2,1,39.0,90,0,0,0,0,0,438961,0.0,23.0,8,0,0,0,70,0
13,Robert Sánchez,GK,Brighton,15,2,6,2022-23,5.0,0.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,40.0,90.0,0.0,0.0,0.0,0.0,5.0,892941.0,0.0,0.0,4.0,0.0,0.0,0.0,45.0,0.0,0,1,19,0,0.0,0.0,0.0,0.0,0.0,1,0,40.0,90,0,0,0,0,5,892941,0.0,0.0,4,0,0,0,45,0
14,Pierre-Emile Højbjerg,MID,Spurs,6,2,10,2022-23,6.0,0.0,0.0,16.0,0.0,26.9,0.0,0.0,0.0,0.0,1.0,0.0,19.8,90.0,0.0,0.0,0.0,0.0,0.0,74064.0,0.0,0.0,2.0,0.0,0.0,0.0,55.0,0.0,0,0,16,0,26.9,0.0,0.0,0.0,0.0,1,0,19.8,90,0,0,0,0,0,74064,0.0,0.0,2,0,0,0,55,0
15,Declan Rice,MID,West Ham,16,2,-1,2022-23,1.0,0.0,0.0,10.0,0.0,1.3,0.0,0.0,0.0,0.0,2.0,0.0,19.8,90.0,0.0,0.0,0.0,0.0,0.0,501042.0,0.0,4.0,2.0,0.0,0.0,0.0,50.0,0.0,0,0,10,0,1.3,0.0,0.0,0.0,0.0,2,0,19.8,90,0,0,0,0,0,501042,0.0,4.0,2,0,0,0,50,0
16,David Raya Martin,GK,Brentford,14,2,7,2022-23,4.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,19.8,90.0,0.0,0.0,0.0,0.0,3.0,495719.0,0.0,0.0,2.0,0.0,0.0,0.0,45.0,0.0,0,0,15,0,0.0,0.0,0.0,0.0,0.0,2,0,19.8,90,0,0,0,0,3,495719,0.0,0.0,2,0,0,0,45,0
17,Joachim Andersen,DEF,Crystal Palace,12,2,1,2022-23,0.0,0.0,0.0,20.0,0.0,12.2,0.0,0.0,0.0,0.0,2.0,0.0,37.4,90.0,0.0,0.0,0.0,0.0,0.0,218564.0,0.0,6.0,1.0,0.0,0.0,0.0,45.0,0.0,0,0,20,0,12.2,0.0,0.0,0.0,0.0,2,0,37.4,90,0,0,0,0,0,218564,0.0,6.0,1,0,0,0,45,0
18,Ederson Santana de Moraes,GK,Man City,3,2,6,2022-23,8.0,0.0,1.0,26.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.4,90.0,0.0,0.0,0.0,0.0,1.0,1240294.0,0.0,0.0,7.0,0.0,0.0,0.0,55.0,0.0,0,1,26,1,0.0,0.0,0.0,0.0,0.0,0,0,14.4,90,0,0,0,0,1,1240294,0.0,0.0,7,0,0,0,55,0
19,Jarrod Bowen,MID,West Ham,16,2,2,2022-23,2.5,0.0,0.0,5.0,0.0,0.7,0.0,0.0,0.0,0.0,2.0,0.0,6.6,90.0,0.0,0.0,0.0,0.0,0.0,547187.0,0.0,22.0,2.0,0.0,0.0,0.0,85.0,0.0,0,0,5,0,0.7,0.0,0.0,0.0,0.0,2,0,6.6,90,0,0,0,0,0,547187,0.0,22.0,2,0,0,0,85,0
20,Ben Davies,DEF,Liverpool,7,2,0,2022-23,0.0,0.0,0.0,7.0,0.0,8.4,0.0,0.0,0.0,0.0,0.5,0.0,11.2,42.5,0.0,0.0,0.0,0.0,0.0,31805.0,0.0,4.5,1.0,0.0,0.0,0.0,45.0,0.0,0,0,14,0,16.8,0.0,0.0,0.0,0.0,1,0,22.4,85,0,0,0,0,0,62596,0.0,9.0,2,0,0,0,50,0
21,Bryan Mbeumo,FWD,Brentford,14,2,6,2022-23,3.5,0.0,0.0,13.0,0.0,15.8,0.0,0.0,0.0,0.0,2.0,0.0,11.8,90.0,0.0,0.0,0.0,0.0,0.0,219038.0,0.0,23.0,2.0,0.0,0.0,0.0,60.0,0.0,0,0,13,0,15.8,0.0,0.0,0.0,0.0,2,0,11.8,90,0,0,0,0,0,219038,0.0,23.0,2,0,0,0,60,0
22,Marcus Rashford,MID,Man Utd,4,2,1,2022-23,2.0,0.0,0.0,-1.0,0.0,13.0,0.0,0.0,0.0,0.0,2.0,0.0,1.8,90.0,0.0,0.0,0.0,0.0,0.0,964460.0,0.0,35.0,2.0,0.0,0.0,0.0,65.0,0.0,0,0,-1,0,13.0,0.0,0.0,0.0,0.0,2,0,1.8,90,0,0,0,0,0,964460,0.0,35.0,2,0,0,0,65,0
23,Bukayo Saka,MID,Arsenal,10,2,2,2022-23,4.5,1.0,0.0,10.0,1.0,7.6,0.0,0.0,0.0,0.0,0.0,0.0,1.8,90.0,0.0,0.0,0.0,0.0,0.0,1772492.0,0.0,36.0,6.0,0.0,0.0,0.0,80.0,0.0,1,0,10,1,7.6,0.0,0.0,0.0,0.0,0,0,1.8,90,0,0,0,0,0,1772492,0.0,36.0,6,0,0,0,80,0
24,Trent Alexander-Arnold,DEF,Liverpool,7,2,3,2022-23,3.0,0.0,0.0,13.0,0.0,20.9,0.0,0.0,0.0,0.0,2.0,0.0,12.2,90.0,0.0,0.0,0.0,0.0,0.0,4694983.0,0.0,2.0,1.0,0.0,0.0,0.0,75.0,0.0,0,0,13,0,20.9,0.0,0.0,0.0,0.0,2,0,12.2,90,0,0,0,0,0,4694983,0.0,2.0,1,0,0,0,75,0
25,Mohamed Salah,MID,Liverpool,7,2,2,2022-23,8.0,1.0,2.0,34.0,0.0,20.0,0.0,0.0,0.0,0.0,2.0,1.0,39.6,90.0,0.0,0.0,0.0,0.0,0.0,4848340.0,0.0,25.0,12.0,0.0,0.0,0.0,130.0,0.0,1,2,34,0,20.0,0.0,0.0,0.0,0.0,2,1,39.6,90,0,0,0,0,0,4848340,0.0,25.0,12,0,0,0,130,0
26,Lewis Dunk,DEF,Brighton,15,2,7,2022-23,4.5,0.0,0.0,9.0,0.0,0.1,0.0,0.0,0.0,0.0,1.0,0.0,12.2,90.0,0.0,0.0,0.0,0.0,0.0,147708.0,0.0,4.0,2.0,0.0,0.0,0.0,45.0,0.0,0,0,9,0,0.1,0.0,0.0,0.0,0.0,1,0,12.2,90,0,0,0,0,0,147708,0.0,4.0,2,0,0,0,45,0
27,Emiliano Buendía Stati,MID,Aston Villa,8,2,8,2022-23,4.5,0.0,0.0,8.0,0.0,15.8,0.0,0.0,0.0,0.0,1.0,0.0,4.8,45.0,0.0,0.0,0.0,0.0,0.0,42305.0,0.0,2.0,1.0,0.0,0.0,0.0,60.0,0.0,0,0,8,0,15.8,0.0,0.0,0.0,0.0,1,0,4.8,45,0,0,0,0,0,42305,0.0,2.0,1,0,0,0,60,0
28,Aaron Ramsdale,GK,Arsenal,10,2,1,2022-23,4.0,0.0,0.0,25.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,90.0,0.0,0.0,0.0,0.0,2.0,1128297.0,0.0,0.0,6.0,0.0,0.0,0.0,50.0,0.0,0,0,25,1,0.0,0.0,0.0,0.0,0.0,0,0,19.0,90,0,0,0,0,2,1128297,0.0,0.0,6,0,0,0,50,0
29,Tyrick Mitchell,DEF,Crystal Palace,12,2,2,2022-23,0.5,0.0,0.0,11.0,0.0,1.9,0.0,0.0,0.0,0.0,2.0,0.0,13.8,90.0,0.0,0.0,0.0,0.0,0.0,74150.0,0.0,0.0,1.0,0.0,0.0,0.0,45.0,0.0,0,0,11,0,1.9,0.0,0.0,0.0,0.0,2,0,13.8,90,0,0,0,0,0,74150,0.0,0.0,1,0,0,0,45,0
30,Max Kilman,DEF,Wolves,9,2,7,2022-23,4.5,0.0,0.0,20.0,0.0,0.5,0.0,0.0,0.0,0.0,2.0,0.0,24.8,90.0,0.0,0.0,0.0,0.0,0.0,71840.0,0.0,6.0,1.0,0.0,0.0,0.0,45.0,0.0,0,0,20,0,0.5,0.0,0.0,0.0,0.0,2,0,24.8,90,0,0,0,0,0,71840,0.0,6.0,1,0,0,0,45,0
31,Dwight McNeil,MID,Everton,2,2,2,2022-23,2.0,0.0,0.0,20.0,0.0,15.9,0.0,0.0,0.0,0.0,1.0,0.0,14.6,60.0,0.0,0.0,0.0,0.0,0.0,33086.0,0.0,2.0,2.0,0.0,0.0,0.0,55.0,0.0,0,0,20,0,15.9,0.0,0.0,0.0,0.0,1,0,14.6,60,0,0,0,0,0,33086,0.0,2.0,2,0,0,0,55,0
32,Ezri Konsa Ngoyo,DEF,Aston Villa,8,2,1,2022-23,1.0,0.0,0.0,16.0,0.0,1.3,0.0,0.0,0.0,0.0,2.0,0.0,20.8,90.0,0.0,0.0,0.0,0.0,0.0,22328.0,0.0,0.0,1.0,0.0,0.0,0.0,45.0,0.0,0,0,16,0,1.3,0.0,0.0,0.0,0.0,2,0,20.8,90,0,0,0,0,0,22328,0.0,0.0,1,0,0,0,45,0
33,Kieran Trippier,DEF,Newcastle,5,2,7,2022-23,7.0,0.0,1.0,32.0,1.0,41.4,0.0,0.0,0.0,0.0,0.0,0.0,19.8,90.0,0.0,0.0,0.0,0.0,0.0,1570068.0,0.0,10.0,7.0,0.0,0.0,0.0,50.0,0.0,0,1,32,1,41.4,0.0,0.0,0.0,0.0,0,0,19.8,90,0,0,0,0,0,1570068,0.0,10.0,7,0,0,0,50,0
34,Aymeric Laporte,DEF,Man City,3,2,0,2022-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62453.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,62453,0.0,0.0,0,0,0,0,60,0
35,Joelinton Cássio Apolinário de Lira,MID,Newcastle,5,2,2,2022-23,4.0,1.0,0.0,28.0,1.0,46.1,0.0,0.0,0.0,0.0,0.0,0.0,39.0,90.0,0.0,0.0,0.0,0.0,0.0,42379.0,0.0,26.0,6.0,0.0,0.0,0.0,60.0,0.0,1,0,28,1,46.1,0.0,0.0,0.0,0.0,0,0,39.0,90,0,0,0,0,0,42379,0.0,26.0,6,0,0,0,60,0
36,Alex Iwobi,MID,Everton,2,2,2,2022-23,2.0,0.0,0.0,16.0,0.0,22.1,0.0,0.0,0.0,0.0,1.0,0.0,13.8,90.0,0.0,0.0,0.0,0.0,0.0,11182.0,0.0,2.0,2.0,0.0,0.0,0.0,55.0,0.0,0,0,16,0,22.1,0.0,0.0,0.0,0.0,1,0,13.8,90,0,0,0,0,0,11182,0.0,2.0,2,0,0,0,55,0
37,Joel Matip,DEF,Liverpool,7,2,0,2022-23,0.8,0.0,0.0,19.0,0.0,1.8,0.0,0.0,0.0,0.0,2.0,0.0,30.4,90.0,0.0,0.0,0.0,0.0,0.0,211558.0,0.0,0.0,1.0,0.0,0.0,0.0,60.0,0.0,0,0,19,0,1.8,0.0,0.0,0.0,0.0,2,0,30.4,90,0,0,0,0,0,211558,0.0,0.0,1,0,0,0,60,0
38,Saïd Benrahma,MID,West Ham,16,2,2,2022-23,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.2,33.0,0.0,0.0,0.0,0.0,0.0,185141.0,0.0,17.0,1.0,0.0,0.0,0.0,60.0,0.0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,1,0,2.2,33,0,0,0,0,0,185141,0.0,17.0,1,0,0,0,60,0
39,Tomas Soucek,MID,West Ham,16,2,2,2022-23,2.5,0.0,0.0,10.0,0.0,0.8,0.0,0.0,0.0,0.0,2.0,0.0,7.6,90.0,0.0,0.0,0.0,0.0,0.0,152608.0,0.0,0.0,2.0,0.0,0.0,0.0,55.0,0.0,0,0,10,0,0.8,0.0,0.0,0.0,0.0,2,0,7.6,90,0,0,0,0,0,152608,0.0,0.0,2,0,0,0,55,0
40,Wilfried Zaha,MID,Crystal Palace,12,2,7,2022-23,3.5,0.0,0.0,16.0,0.0,30.4,0.0,0.0,0.0,0.0,2.0,0.0,13.6,90.0,0.0,0.0,0.0,0.0,0.0,624984.0,0.0,32.0,2.0,0.0,0.0,0.0,70.0,0.0,0,0,16,0,30.4,0.0,0.0,0.0,0.0,2,0,13.6,90,0,0,0,0,0,624984,0.0,32.0,2,0,0,0,70,0
41,Granit Xhaka,MID,Arsenal,10,2,12,2022-23,7.5,0.0,0.0,12.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,16.6,90.0,0.0,0.0,0.0,0.0,0.0,48303.0,0.0,2.0,2.0,0.0,0.0,0.0,50.0,1.0,0,0,12,1,15.0,0.0,0.0,0.0,0.0,0,0,16.6,90,0,0,0,0,0,48303,0.0,2.0,2,0,0,0,50,1
42,Harvey Barnes,MID,Leicester,1,2,0,2022-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197907.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,197907,0.0,0.0,0,0,0,0,70,0
43,Michail Antonio,FWD,West Ham,16,2,2,2022-23,1.5,0.0,0.0,1.0,0.0,0.3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,393620.0,0.0,22.0,1.0,0.0,0.0,0.0,75.0,0.0,0,0,1,0,0.3,0.0,0.0,0.0,0.0,1,0,0.0,56,0,0,0,0,0,393620,0.0,22.0,1,0,0,0,75,0
44,Mason Mount,MID,Chelsea,18,2,2,2022-23,2.5,0.0,0.0,5.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,8.6,64.0,0.0,0.0,0.0,0.0,0.0,808300.0,0.0,23.0,3.0,0.0,0.0,0.0,80.0,0.0,0,0,5,1,5.0,0.0,0.0,0.0,0.0,0,0,8.6,64,0,0,0,0,0,808300,0.0,23.0,3,0,0,0,80,0
45,Kai Havertz,FWD,Chelsea,18,2,1,2022-23,1.5,0.0,0.0,1.0,1.0,4.4,0.0,0.0,0.0,0.0,0.0,0.0,1.6,74.0,0.0,0.0,0.0,0.0,0.0,356575.0,0.0,47.0,2.0,0.0,0.0,0.0,80.0,0.0,0,0,1,1,4.4,0.0,0.0,0.0,0.0,0,0,1.6,74,0,0,0,0,0,356575,0.0,47.0,2,0,0,0,80,0
46,Jorge Luiz Frello Filho,MID,Chelsea,18,2,2,2022-23,6.5,0.0,3.0,32.0,1.0,18.1,0.0,0.0,0.0,0.0,0.0,1.0,39.0,90.0,0.0,0.0,0.0,0.0,0.0,114916.0,0.0,19.0,11.0,0.0,0.0,0.0,60.0,0.0,0,3,32,1,18.1,0.0,0.0,0.0,0.0,0,1,39.0,90,0,0,0,0,0,114916,0.0,19.0,11,0,0,0,60,0
47,Michael Olise,MID,Crystal Palace,12,2,1,2022-23,-0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17030.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,17030,0.0,0.0,0,0,0,0,55,0
48,Ollie Watkins,FWD,Aston Villa,8,2,11,2022-23,6.0,0.0,0.0,3.0,0.0,11.8,0.0,0.0,0.0,0.0,1.0,0.0,2.0,24.0,0.0,0.0,0.0,0.0,0.0,324554.0,0.0,2.0,1.0,0.0,0.0,0.0,75.0,0.0,0,0,3,0,11.8,0.0,0.0,0.0,0.0,1,0,2.0,24,0,0,0,0,0,324554,0.0,2.0,1,0,0,0,75,0
49,Leandro Trossard,MID,Brighton,15,2,3,2022-23,2.0,0.0,0.0,7.0,0.0,40.9,0.0,0.0,0.0,0.0,1.0,0.0,8.0,74.0,0.0,0.0,0.0,0.0,0.0,177238.0,0.0,20.0,1.0,0.0,0.0,0.0,65.0,1.0,0,0,7,0,40.9,0.0,0.0,0.0,0.0,1,0,8.0,74,0,0,0,0,0,177238,0.0,20.0,1,0,0,0,65,1
50,Jamie Vardy,FWD,Leicester,1,2,2,2022-23,3.0,1.0,0.0,18.0,0.0,10.8,0.0,0.0,0.0,0.0,2.0,0.0,26.4,90.0,0.0,0.0,0.0,0.0,0.0,398397.0,0.0,4.0,5.0,0.0,0.0,0.0,95.0,0.0,1,0,18,0,10.8,0.0,0.0,0.0,0.0,2,0,26.4,90,0,0,0,0,0,398397,0.0,4.0,5,0,0,0,95,0
51,Jacob Ramsey,MID,Aston Villa,8,2,2,2022-23,1.0,0.0,0.0,11.0,0.0,22.3,0.0,0.0,0.0,0.0,1.0,0.0,10.0,45.0,0.0,0.0,0.0,0.0,0.0,172950.0,0.0,8.0,0.0,0.0,0.0,0.0,55.0,1.0,0,0,11,0,22.3,0.0,0.0,0.0,0.0,1,0,10.0,45,0,0,0,0,0,172950,0.0,8.0,0,0,0,0,55,1
52,Allan Saint-Maximin,MID,Newcastle,5,2,2,2022-23,2.5,0.0,0.0,6.0,1.0,17.7,0.0,0.0,0.0,0.0,0.0,0.0,6.8,89.0,0.0,0.0,0.0,0.0,0.0,596955.0,0.0,81.0,3.0,0.0,0.0,0.0,65.0,0.0,0,0,6,1,17.7,0.0,0.0,0.0,0.0,0,0,6.8,89,0,0,0,0,0,596955,0.0,81.0,3,0,0,0,65,0
53,Rico Henry,DEF,Brentford,14,2,6,2022-23,4.5,1.0,0.0,22.0,0.0,14.8,0.0,0.0,0.0,0.0,2.0,0.0,20.2,90.0,0.0,0.0,0.0,0.0,0.0,47144.0,0.0,0.0,4.0,0.0,0.0,0.0,45.0,0.0,1,0,22,0,14.8,0.0,0.0,0.0,0.0,2,0,20.2,90,0,0,0,0,0,47144,0.0,0.0,4,0,0,0,45,0
54,Yoane Wissa,MID,Brentford,14,2,1,2022-23,1.0,0.0,0.0,5.0,0.0,1.5,0.0,0.0,0.0,0.0,2.0,0.0,0.0,83.0,0.0,0.0,0.0,0.0,0.0,16404.0,0.0,5.0,2.0,0.0,0.0,0.0,55.0,0.0,0,0,5,0,1.5,0.0,0.0,0.0,0.0,2,0,0.0,83,0,0,0,0,0,16404,0.0,5.0,2,0,0,0,55,0
55,James Tarkowski,DEF,Everton,2,2,1,2022-23,1.5,0.0,0.0,12.0,0.0,13.7,0.0,0.0,0.0,0.0,1.0,0.0,30.4,90.0,0.0,0.0,0.0,0.0,0.0,64435.0,0.0,34.0,2.0,0.0,0.0,0.0,45.0,0.0,0,0,12,0,13.7,0.0,0.0,0.0,0.0,1,0,30.4,90,0,0,0,0,0,64435,0.0,34.0,2,0,0,0,45,0
56,Eric Dier,DEF,Spurs,6,2,1,2022-23,4.5,0.0,0.0,27.0,0.0,0.4,0.0,0.0,0.0,0.0,1.0,1.0,43.6,90.0,0.0,0.0,0.0,0.0,0.0,289437.0,0.0,17.0,8.0,0.0,0.0,0.0,50.0,0.0,0,0,27,0,0.4,0.0,0.0,0.0,0.0,1,1,43.6,90,0,0,0,0,0,289437,0.0,17.0,8,0,0,0,50,0
57,Gabriel Martinelli Silva,MID,Arsenal,10,2,8,2022-23,8.5,0.0,0.0,23.0,1.0,15.2,0.0,0.0,0.0,0.0,0.0,1.0,38.2,90.0,0.0,0.0,0.0,0.0,0.0,1728741.0,0.0,39.0,8.0,0.0,0.0,0.0,60.0,0.0,0,0,23,1,15.2,0.0,0.0,0.0,0.0,0,1,38.2,90,0,0,0,0,0,1728741,0.0,39.0,8,0,0,0,60,0
58,John McGinn,MID,Aston Villa,8,2,2,2022-23,2.0,0.0,0.0,16.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,9.6,90.0,0.0,0.0,0.0,0.0,0.0,159781.0,0.0,17.0,2.0,0.0,0.0,0.0,55.0,0.0,0,0,16,0,4.0,0.0,0.0,0.0,0.0,2,0,9.6,90,0,0,0,0,0,159781,0.0,17.0,2,0,0,0,55,0
59,Thiago Emiliano da Silva,DEF,Chelsea,18,2,1,2022-23,3.5,0.0,0.0,27.0,1.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,25.0,90.0,0.0,0.0,0.0,0.0,0.0,501183.0,0.0,0.0,6.0,0.0,0.0,0.0,55.0,0.0,0,0,27,1,1.8,0.0,0.0,0.0,0.0,0,0,25.0,90,0,0,0,0,0,501183,0.0,0.0,6,0,0,0,55,0
60,Illan Meslier,GK,Leeds,17,2,1,2022-23,1.5,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,38.8,90.0,0.0,0.0,0.0,0.0,5.0,204130.0,0.0,0.0,3.0,0.0,0.0,0.0,45.0,0.0,0,0,19,0,0.0,0.0,0.0,0.0,0.0,1,0,38.8,90,0,0,0,0,5,204130,0.0,0.0,3,0,0,0,45,0
61,Lukasz Fabianski,GK,West Ham,16,2,3,2022-23,1.2,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,28.0,0.0,0.0,0.0,0.0,0.0,101841.0,0.0,0.0,1.0,0.0,0.0,0.0,50.0,0.0,0,0,5,0,0.0,0.0,0.0,0.0,0.0,0,0,1.2,28,0,0,0,0,0,101841,0.0,0.0,1,0,0,0,50,0
