,name,position,team,opponent_team,round,xP,season,minutes_lag_1,minutes_lag_2,bps_lag_1,minutes_lag_3,influence_lag_1,total_points_lag_1,selected_lag_1,selected_lag_2,selected_lag_3,threat_lag_1,bps_lag_2,influence_lag_2,creativity_lag_1,bps_lag_3,influence_lag_3,total_points_lag_2,threat_lag_2,total_points_lag_3,transfers_in_lag_2,creativity_lag_2,goals_conceded_lag_1,goals_conceded_lag_1.1,value_lag_2,value_lag_1,value_lag_3,threat_lag_3,creativity_lag_3,expected_goal_involvements_lag_1,transfers_in_lag_1,expected_goals_lag_1,transfers_in_lag_3,expected_goals_conceded_lag_1,goals_scored_lag_1,goals_scored_lag_1.1,expected_goal_involvements_lag_2,goals_conceded_lag_2,goals_conceded_lag_2.1,bonus_lag_1,goals_scored_lag_3,goals_scored_lag_3.1,expected_goals_lag_2,goals_conceded_lag_3,goals_conceded_lag_3.1,clean_sheets_lag_2.1,clean_sheets_lag_2,clean_sheets_lag_1,clean_sheets_lag_1.1,expected_assists_lag_1,expected_goal_involvements_lag_3,expected_assists_lag_2,expected_goals_lag_3,bonus_lag_3,goals_scored_lag_2.1,goals_scored_lag_2,transfers_out_lag_1,expected_goals_conceded_lag_2,bonus_lag_2,total_points
3653,Dominic Calvert-Lewin,FWD,Everton,1,25,0.1,2022-23,0,0,0,0,0.0,0,33440,34543,36904,0.0,0,0.0,0.0,0,0.0,0,0.0,0,280,0.0,0,0,79,79,79,0.0,0.0,0.0,440,0.0,1645,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,1741,0.0,0,0
3654,Eric Dier,DEF,Spurs,6,25,6.0,2022-23,90,90,27,90,18.6,7,651507,673790,673442,0.0,10,13.0,0.8,22,17.2,-1,2.0,6,14195,0.4,0,0,51,51,51,19.0,0.0,0.01,4279,0.0,7413,0.48,0,0,0.04,4,4,1,0,0,0.04,0,0,0,0,1,1,0.01,0.26,0.0,0.26,0,0,0,27116,1.54,0,12
3655,Neal Maupay,FWD,Everton,2,25,2.3,2022-23,80,12,4,28,5.2,2,54535,52778,53062,32.0,2,0.0,5.7,-4,1.0,1,0.0,0,1461,0.3,0,0,59,59,59,7.0,1.6,0.51,3373,0.5,1189,0.34,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,1,1,0.01,0.02,0.0,0.02,0,0,0,1777,0.3,0,2
3656,Neal Maupay,FWD,Everton,1,25,2.3,2022-23,75,80,2,12,4.2,2,141969,54535,52778,44.0,4,5.2,12.0,2,0.0,2,32.0,1,3373,5.7,1,1,59,59,59,0.0,0.3,0.62,55681,0.57,1461,1.64,0,0,0.51,0,0,0,0,0,0.5,0,0,1,1,0,0,0.05,0.0,0.01,0.0,0,0,0,6528,0.34,0,2
3657,Gabriel Martinelli Silva,MID,Arsenal,10,25,13.6,2022-23,22,75,21,61,36.0,6,3866900,4212329,4212329,23.0,7,5.0,14.3,6,0.0,2,2.0,3,52642,17.3,0,0,66,65,66,37.0,6.4,0.99,17826,0.98,52642,0.18,1,1,0.1,2,2,0,0,0,0.0,0,0,0,0,0,0,0.02,0.27,0.1,0.19,0,0,0,369541,1.59,0,10
3658,Gabriel Martinelli Silva,MID,Arsenal,8,25,13.6,2022-23,90,22,26,75,28.8,10,3704318,3866900,4212329,33.0,21,36.0,8.0,7,5.0,6,23.0,2,17826,14.3,0,0,65,65,66,2.0,17.3,0.3,79091,0.21,52642,0.02,1,1,0.99,0,0,3,0,0,0.98,2,2,0,0,1,1,0.09,0.1,0.02,0.0,0,1,1,174826,0.18,0,16
3659,John McGinn,MID,Aston Villa,8,25,3.8,2022-23,90,30,14,0,17.6,2,53675,53802,54041,7.0,3,2.2,1.3,0,0.0,1,2.0,0,105,0.8,4,4,51,51,51,0.0,0.0,0.1,157,0.07,44,3.28,0,0,0.01,0,0,0,0,0,0.0,0,0,0,0,0,0,0.03,0.0,0.01,0.0,0,0,0,347,0.65,0,12
3660,Thiago Emiliano da Silva,DEF,Chelsea,18,25,2.2,2022-23,0,90,0,90,0.0,0,1058278,1030570,973917,0.0,20,32.4,0.0,27,25.4,2,0.0,6,72949,1.7,0,0,55,55,55,19.0,1.1,0.0,52138,0.0,130515,0.0,0,0,0.01,1,1,0,0,0,0.0,0,0,0,0,0,0,0.0,0.1,0.01,0.07,0,0,0,29559,1.29,0,1
3661,Abdoulaye Doucouré,MID,Everton,2,25,3.1,2022-23,90,90,13,90,19.4,2,7318,7141,6846,6.0,5,1.0,29.0,6,11.4,1,2.0,3,368,2.1,0,0,53,53,53,10.0,11.8,0.05,286,0.0,63,0.6,0,0,0.02,2,2,0,0,0,0.0,0,0,0,0,1,1,0.05,0.25,0.02,0.24,0,0,0,142,2.19,0,1
3662,Abdoulaye Doucouré,MID,Everton,1,25,3.1,2022-23,90,90,9,90,10.6,1,10342,7318,7141,20.0,13,19.4,17.6,5,1.0,2,6.0,1,286,29.0,2,2,53,53,53,2.0,2.1,0.35,2063,0.15,368,1.94,0,0,0.05,0,0,0,0,0,0.0,2,2,1,1,0,0,0.2,0.02,0.05,0.0,0,0,0,382,0.6,0,2
3663,Illan Meslier,GK,Leeds,17,25,3.5,2022-23,90,90,19,90,23.8,3,217170,218485,229795,0.0,14,24.4,0.0,18,27.2,2,0.0,2,1477,0.0,1,1,45,45,45,0.0,0.0,0.0,2336,0.0,32965,1.52,0,0,0.0,2,2,0,0,0,0.0,2,2,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,4404,1.12,0,6
3664,Sergio Reguilón,DEF,Spurs,6,25,0.0,2022-23,0,0,0,0,0.0,0,35384,35533,35682,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,42,42,42,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,154,0.0,0,0
3665,Lukasz Fabianski,GK,West Ham,16,25,3.2,2022-23,90,90,17,90,26.4,2,130076,132510,132292,0.0,14,19.0,0.0,10,9.2,3,0.0,2,3074,0.0,2,2,50,50,50,0.0,0.0,0.0,1067,0.0,1709,1.48,0,0,0.0,1,1,0,0,0,0.0,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,4087,1.15,0,6
3666,Reece James,DEF,Chelsea,18,25,1.0,2022-23,0,90,0,59,0.0,0,1499932,1372317,1281907,0.0,17,21.0,0.0,8,4.6,2,11.0,1,97077,29.5,0,0,57,58,57,0.0,3.1,0.0,142428,0.0,48302,0.0,0,0,0.09,1,1,0,0,0,0.04,0,0,0,0,0,0,0.0,0.01,0.06,0.0,0,0,0,18349,1.29,0,1
3667,Timothy Castagne,DEF,Leicester,1,25,1.5,2022-23,90,90,22,90,29.0,1,764566,787001,854189,6.0,21,10.6,25.8,12,26.0,5,5.0,0,10149,1.7,3,3,45,44,45,0.0,0.9,0.09,10799,0.0,27754,4.23,0,0,0.02,1,1,0,0,0,0.02,2,2,0,0,0,0,0.09,0.0,0.01,0.0,0,0,0,35762,1.28,0,2
