,name,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,opponent,season,position,team,xP,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,starts
24,Kevin_De Bruyne_215,0,0,8,1,34.8,215,84,0,0,6.4,10.0,2019-10-19T16:30:00Z,90,7,0,0,0,0,9,0,2319067,2.0,0.0,19.0,3,96039,270262,174223,100,False,0,Crystal Palace,2019-20,,,,,,,,
25,Mohamed_Salah_191,0,0,0,0,0.0,191,87,0,0,0.0,0.0,2019-10-20T15:30:00Z,0,12,0,0,0,0,9,0,2186184,1.0,1.0,0.0,0,-601424,13726,615150,124,False,0,Man Utd,2019-20,,,,,,,,
26,Sadio_Mané_192,0,0,5,0,36.3,192,87,1,0,4.7,6.2,2019-10-20T15:30:00Z,90,12,0,0,0,0,9,0,2058900,1.0,1.0,4.0,2,521038,544714,23676,118,False,0,Man Utd,2019-20,,,,,,,,
27,Kevin_De Bruyne_215,1,0,24,1,91.1,215,95,0,0,14.0,37.2,2019-10-26T11:30:00Z,75,2,0,0,0,0,10,0,2640790,0.0,3.0,12.0,6,297701,311175,13474,101,True,0,Aston Villa,2019-20,,,,,,,,
28,Mohamed_Salah_191,0,0,25,0,15.3,191,94,1,1,15.3,45.0,2019-10-27T16:30:00Z,84,17,0,0,0,0,10,0,2096834,1.0,2.0,93.0,7,-114968,23153,138121,124,True,0,Spurs,2019-20,,,,,,,,
29,Sadio_Mané_192,1,0,18,0,32.6,192,94,1,0,6.4,9.2,2019-10-27T16:30:00Z,90,17,0,0,0,0,10,0,2120143,1.0,2.0,22.0,5,72746,110812,38066,118,True,0,Spurs,2019-20,,,,,,,,
30,Kevin_De Bruyne_215,0,0,21,0,61.9,215,107,1,0,13.5,19.4,2019-11-02T15:00:00Z,90,16,0,0,0,0,11,0,2825502,1.0,2.0,54.0,2,168126,197239,29113,102,True,0,Southampton,2019-20,,,,,,,,
31,Mohamed_Salah_191,0,0,4,0,1.2,191,102,1,0,3.5,0.0,2019-11-02T15:00:00Z,64,2,0,0,0,0,11,0,2001830,2.0,1.0,35.0,2,-101601,29418,131019,124,False,0,Aston Villa,2019-20,,,,,,,,
32,Sadio_Mané_192,1,3,29,0,45.7,192,102,1,1,17.7,53.0,2019-11-02T15:00:00Z,90,2,0,0,0,0,11,0,2173207,2.0,1.0,78.0,12,40945,99733,58788,119,False,1,Aston Villa,2019-20,,,,,,,,
33,Kevin_De Bruyne_215,0,0,18,0,52.1,215,114,3,0,10.4,13.4,2019-11-10T16:30:00Z,90,10,0,0,0,0,12,0,2821187,1.0,3.0,38.0,2,3438,85140,81702,102,False,0,Liverpool,2019-20,,,,,,,,
34,Mohamed_Salah_191,0,1,25,0,3.3,191,114,1,1,9.7,45.2,2019-11-10T16:30:00Z,86,11,0,0,0,0,12,0,1894445,1.0,3.0,48.0,8,-110997,26242,137239,123,True,0,Man City,2019-20,,,,,,,,
35,Sadio_Mané_192,0,0,21,0,22.3,192,114,1,1,10.9,47.4,2019-11-10T16:30:00Z,90,11,0,0,0,0,12,0,2401403,1.0,3.0,39.0,7,209439,225027,15588,120,True,0,Man City,2019-20,,,,,,,,
36,Kevin_De Bruyne_215,0,0,28,0,38.1,215,127,1,1,9.8,40.0,2019-11-23T17:30:00Z,90,6,0,0,0,0,13,0,2803514,1.0,2.0,20.0,7,-38785,87013,125798,102,True,0,Chelsea,2019-20,,,,,,,,
37,Mohamed_Salah_191,0,0,0,0,0.0,191,125,0,0,0.0,0.0,2019-11-23T15:00:00Z,0,7,0,0,0,0,13,0,1659338,2.0,1.0,0.0,0,-233449,36039,269488,123,False,0,Crystal Palace,2019-20,,,,,,,,
38,Sadio_Mané_192,0,2,26,0,24.7,192,125,1,1,10.2,37.0,2019-11-23T15:00:00Z,90,7,0,0,0,0,13,0,2768501,2.0,1.0,40.0,9,339909,356312,16403,121,False,0,Crystal Palace,2019-20,,,,,,,,
39,Kevin_De Bruyne_215,0,3,35,0,91.1,215,136,2,1,21.0,62.4,2019-11-30T12:30:00Z,90,13,0,0,0,0,14,0,2872585,2.0,2.0,56.0,10,51340,107163,55823,102,False,0,Newcastle,2019-20,,,,,,,,
40,Mohamed_Salah_191,0,0,6,1,12.7,191,134,0,0,4.3,0.4,2019-11-30T15:00:00Z,68,4,0,0,0,0,14,0,1632180,1.0,2.0,30.0,3,-43760,37183,80943,122,True,0,Brighton,2019-20,,,,,,,,
41,Sadio_Mané_192,0,0,17,0,32.9,192,134,1,0,11.6,23.2,2019-11-30T15:00:00Z,90,4,0,0,0,0,14,0,2894269,1.0,2.0,60.0,2,128984,146886,17902,122,True,0,Brighton,2019-20,,,,,,,,
42,Kevin_De Bruyne_215,0,0,13,1,46.9,215,142,0,0,8.0,15.6,2019-12-03T20:15:00Z,79,5,0,0,0,0,15,0,2951894,4.0,1.0,17.0,3,69767,85869,16102,102,False,0,Burnley,2019-20,,,,,,,,
43,Mohamed_Salah_191,0,0,0,0,0.0,191,149,0,0,0.0,0.0,2019-12-04T20:15:00Z,0,8,0,0,0,0,15,0,1585242,2.0,5.0,0.0,0,-49660,11978,61638,122,True,0,Everton,2019-20,,,,,,,,
